Nome Urna;Coligação;Totalização;Partido
PRETO;MDB;Concorrendo;15678
PRETO KAYSER;NOVO;Concorrendo;30555
PRISCILA DE CASTRO;PSD;Concorrendo;55155
PROF ANDRESSA VIEIRA A CORUJON;REPUBLICANOS;Concorrendo;10810
PROF DANI;PODE;Concorrendo;20922
PROF. LUIZ FERNANDO;PDT;Concorrendo;12400
PROFESSOR ADILSON KUHN;PSB;Concorrendo;40555
PROFESSOR ALESSANDRO COSTA;REPUBLICANOS;Concorrendo;10121
PROFESSOR BONATTO;PSD;Concorrendo;55888
PROFESSOR CLÁUDIO BRANCHIERI;PL;Concorrendo;22777
PROFESSOR CONSTANTINO;MDB;Concorrendo;15333
PROFESSOR CORAZZA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13130
PROFESSOR DANIEL;PSD;Concorrendo;55355
PROFESSOR FERNANDO CECHINATO;PL;Concorrendo;22123
PROFESSOR FUMAGALLI;PDT;Concorrendo;12007
PROFESSOR GUILHERME;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50150
PROFESSOR VITORINO;MDB;Concorrendo;15888
PROFESSORA BILINA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;65651
PROFESSORA CHEILA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45022
PROFESSORA CLÁUDIA;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11888
PROFESSORA CLAUDIA BRUM;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;18123
PROFESSORA DANI KROEFF;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50005
PROFESSORA HELENIR;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13303
PROFESSORA NEUZA RUFATTO;PSD;Concorrendo;55789
PROFESSORA REGINA;PDT;Concorrendo;12123
PROFESSORA RITA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13213
RAFAEL ACOSTA AMARAL;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11066
RAFAEL BRAGA;MDB;Concorrendo;15015
RAMATIS DE OLIVEIRA;PL;Concorrendo;22233
RAMIRO ROSÁRIO;NOVO;Concorrendo;30000
RAQUEL ALVES;PSB;Concorrendo;40770
RÀQUEL MÖLLER;PDT;Concorrendo;12008
